candidate_id,commons_title,status,relpath,sha256,bytes,fetched_url,note
BA_002927,File:Quinine Biosynthesis.png,ok,balanced_authentic/BA_002927.jpg,e708ea46f62ac16c0855cb3896abf2e3e55d9f45f055c35ed1eb95e78b09e78a,585585,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/Quinine_Biosynthesis.png/1280px-Quinine_Biosynthesis.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002928,File:Quinine INH Gennadius.jpg,ok,balanced_authentic/BA_002928.jpg,95266ce820b324cc528197e05f9d719e7f87bb91d8870e70481fc651fd129d2b,480260,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Quinine_INH_Gennadius.jpg/1280px-Quinine_INH_Gennadius.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002929,File:Quinine ad.jpg,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Quinine_ad.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002930,File:Quinine hydrochloride 40 50.jpg,ok,balanced_authentic/BA_002930.jpg,f6c1fb37133ea1dc1fcf186aea75f5ad9e3441f206caee7020957eb5f0642988,230755,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f3/Quinine_hydrochloride_40_50.jpg/1280px-Quinine_hydrochloride_40_50.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002933,File:Quinine pessary ad.jpg,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/4/44/Quinine_pessary_ad.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002934,File:Quinine specialists of the 19th century. Wellcome V0027531.jpg,ok,balanced_authentic/BA_002934.jpg,702a65f07f4cb447330cac539e1fece2b20c894a3a878bf7ba760e8d6484fcef,936247,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/Quinine_specialists_of_the_19th_century._Wellcome_V0027531.jpg/1280px-Quinine_specialists_of_the_19th_century._Wellcome_V0027531.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002936,"File:Quinine sulphate bottle, London, England, 1860-1910 Wellcome L0058980.jpg",ok,balanced_authentic/BA_002936.jpg,e80f51b9a5218ce8577f47b93bb839b91a73aac3de71c7cd09f785bc21c4193a,447523,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/Quinine_sulphate_bottle%2C_London%2C_England%2C_1860-1910_Wellcome_L0058980.jpg/1280px-Quinine_sulphate_bottle%2C_London%2C_England%2C_1860-1910_Wellcome_L0058980.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002937,File:Quinine-3D-balls.png,ok,balanced_authentic/BA_002937.jpg,4e03f934f8df705fba952769b772398e1d831ad5951c1af0e40b112fe9dd22c2,217440,https://upload.wikimedia.org/wikipedia/commons/2/2a/Quinine-3D-balls.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002953,File:RADM Childs Japan.jpg,ok,balanced_authentic/BA_002953.jpg,a75fe012a9312336a26328ba710efbff9ac06e787308a55e647df38e25636786,223290,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d0/RADM_Childs_Japan.jpg/1280px-RADM_Childs_Japan.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002968,File:Reaktionsschema.png,ok,balanced_authentic/BA_002968.jpg,460f7ad53b247a9ac36489d5345a5021248ecdce3efb8f2dd3c60aa4b723b69f,73906,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c1/Reaktionsschema.png/1280px-Reaktionsschema.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002969,File:Real-time dashboard of clinical trials for COVID-19 Lancet avril 2020.jpg,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Real-time_dashboard_of_clinical_trials_for_COVID-19_Lancet_avril_2020.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002982,File:Remdesivir 3D.png,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Remdesivir_3D.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002983,File:Remdesivir Potentialkarte4.png,ok,balanced_authentic/BA_002983.jpg,f088caac27406a9cde54758cea5c9ae055a3a55c0c83d4d7963d4869fd64107e,1636403,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/69/Remdesivir_Potentialkarte4.png/1280px-Remdesivir_Potentialkarte4.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002984,File:Remdesivir molecule.png,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Remdesivir_molecule.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002985,File:Remdesivir-from-xtal-Mercury-3D-ball-and-stick-with-bond-orders.png,ok,balanced_authentic/BA_002985.jpg,705cf75abd25e4da98125b18d0210fd97e6a63939ca8d1ebb609a0d614226f8a,332836,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5b/Remdesivir-from-xtal-Mercury-3D-ball-and-stick-with-bond-orders.png/1280px-Remdesivir-from-xtal-Mercury-3D-ball-and-stick-with-bond-orders.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002986,File:Remdesivir-from-xtal-Mercury-3D-balls.png,ok,balanced_authentic/BA_002986.jpg,0b087c4c7b8da4df7bad4ff2c2d30e75f4b003e541525ec7d160604c7dfc62c8,295534,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/Remdesivir-from-xtal-Mercury-3D-balls.png/1280px-Remdesivir-from-xtal-Mercury-3D-balls.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002987,File:Remdesivir.jpg,ok,balanced_authentic/BA_002987.jpg,c6df8b058ad5df7c3de061eee912677436194179ff296862cb680421a8bd22f7,374791,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/Remdesivir.jpg/1280px-Remdesivir.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002992,File:Representation of the different bindings between VEGFVEGFR and the molecules inhibiting their signaling pathways.png,ok,balanced_authentic/BA_002992.jpg,90e97c2b2a14f82ce730586af3a4417fd3b73b0545a41149ad35d295f81f9303,743931,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/15/Representation_of_the_different_bindings_between_VEGFVEGFR_and_the_molecules_inhibiting_their_signaling_pathways.png/1280px-Representation_of_the_different_bindings_between_VEGFVEGFR_and_the_molecules_inhibiting_their_signaling_pathways.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003030,File:Rybelsus 14mg bottle angle view.jpg,ok,balanced_authentic/BA_003030.jpg,88a990b35e47ba731ab02b308d11b1b344450fe2e739e617471deccfa75a9479,315748,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d4/Rybelsus_14mg_bottle_angle_view.jpg/1280px-Rybelsus_14mg_bottle_angle_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003031,File:Rybelsus 14mg bottle front view.jpg,ok,balanced_authentic/BA_003031.jpg,6338ec13bd65133f986a1cc0756d341cc7da6c6a563f1edd6bac1704b099ea49,308331,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/Rybelsus_14mg_bottle_front_view.jpg/1280px-Rybelsus_14mg_bottle_front_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003032,File:Rybelsus 14mg box angle view.jpg,ok,balanced_authentic/BA_003032.jpg,4e7a43e7f13289f674f21f1913b2a0cc298cb96e4d942f06ecc8f8f54e52df3a,313511,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/Rybelsus_14mg_box_angle_view.jpg/1280px-Rybelsus_14mg_box_angle_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003033,File:Rybelsus 14mg box front view.jpg,ok,balanced_authentic/BA_003033.jpg,42c44c29c428285538c82f143c7358ee139c588ec43881f76e6f390b7bbd090e,294763,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/Rybelsus_14mg_box_front_view.jpg/1280px-Rybelsus_14mg_box_front_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003034,File:Rybelsus 3mg 7mg.jpg,ok,balanced_authentic/BA_003034.jpg,f43e155ef66a2d2aee95b7a923a0b351ffa59f3a27de8e2b6a27afacb0cc70bf,295517,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/Rybelsus_3mg_7mg.jpg/1280px-Rybelsus_3mg_7mg.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003035,File:Rybelsus 3mg bottle angle view.jpg,ok,balanced_authentic/BA_003035.jpg,90eec1b8bdb313ca12347de547e6329d5a353a95b4d5622e9c9ee652f5c77fe5,316583,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/Rybelsus_3mg_bottle_angle_view.jpg/1280px-Rybelsus_3mg_bottle_angle_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003036,File:Rybelsus 3mg box angle view.jpg,ok,balanced_authentic/BA_003036.jpg,924a8c9ccf34e42c482f69c22e0c68e243191a9d87052ddb31c5cacb13b3d028,319214,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/42/Rybelsus_3mg_box_angle_view.jpg/1280px-Rybelsus_3mg_box_angle_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003037,File:Rybelsus 7mg bottle angle view.jpg,ok,balanced_authentic/BA_003037.jpg,f57b7cef524e042e086d977916776ad80d6133c7de62d57a28021627056daa20,320380,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/87/Rybelsus_7mg_bottle_angle_view.jpg/1280px-Rybelsus_7mg_bottle_angle_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003038,File:Rybelsus 7mg bottle front view.jpg,ok,balanced_authentic/BA_003038.jpg,d843365e196a65ba5a394df741ba0d1b56139b9aa9eeb969fe123f52aa50e97d,311238,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6e/Rybelsus_7mg_bottle_front_view.jpg/1280px-Rybelsus_7mg_bottle_front_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003039,File:Rybelsus 7mg box angle view.jpg,ok,balanced_authentic/BA_003039.jpg,39cc79a6c32be6d2d887b5d72b283b018d5cdcd52cd1ef24f8f698bb883beb73,349575,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Rybelsus_7mg_box_angle_view.jpg/1280px-Rybelsus_7mg_box_angle_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003040,File:Rybelsus 7mg box front view.jpg,ok,balanced_authentic/BA_003040.jpg,881b7a59a46a2460ab9e501aa257ed1b08e04675d898c605dd685af2a0c64f10,296952,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Rybelsus_7mg_box_front_view.jpg/1280px-Rybelsus_7mg_box_front_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_003066,File:Sandoz.Methylprednisolone.4mg.jpg,ok,balanced_authentic/BA_003066.jpg,fbb6bd870153f583e7d082504c879c1f16902eb5565cd8aacc5a7afaae62b671,250321,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/Sandoz.Methylprednisolone.4mg.jpg/1280px-Sandoz.Methylprednisolone.4mg.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
