candidate_id,commons_title,page_url,image_url,mime,width,height,min_side,file_size_bytes,licence_short,licence_url,artist,credit,upload_date,found_via,query_term,harvest_date
BA_000317,File:Amoxicilina.png,https://commons.wikimedia.org/wiki/File:Amoxicilina.png,https://upload.wikimedia.org/wikipedia/commons/e/e3/Amoxicilina.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,513,279,279,5298,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,,,2007-01-24T19:18:28Z,search,Augmentin,2026-09-09
BA_000318,File:Amoxicillin 500mg capsules on a plate (Sandoz).jpg,https://commons.wikimedia.org/wiki/File:Amoxicillin_500mg_capsules_on_a_plate_(Sandoz).jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Amoxicillin_500mg_capsules_on_a_plate_%28Sandoz%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2796,2483,2483,4842033,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Henrysz,Own work,2024-07-17T04:03:56Z,search,Augmentin,2026-09-09
BA_000319,File:Amoxicillin clavulanic acid ball-and-stick.png,https://commons.wikimedia.org/wiki/File:Amoxicillin_clavulanic_acid_ball-and-stick.png,https://upload.wikimedia.org/wikipedia/commons/1/14/Amoxicillin_clavulanic_acid_ball-and-stick.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,2000,1418,1418,226058,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,MarinaVladivostok,Own work,2013-07-20T12:31:58Z,search,Augmentin,2026-09-09
BA_000320,File:Amoxicillin drug.jpg,https://commons.wikimedia.org/wiki/File:Amoxicillin_drug.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/Amoxicillin_drug.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,3072,4080,3072,2327693,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bamjos,Own work,2025-03-29T11:58:36Z,search,amoxicillin,2026-09-09
BA_000321,File:Amoxicillin pill.jpg,https://commons.wikimedia.org/wiki/File:Amoxicillin_pill.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Amoxicillin_pill.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,3372,2707,2707,4782246,Public domain,,NIAID,https://www.flickr.com/photos/niaid/54153768488/,2024-11-25T13:07:52Z,search,Augmentin,2026-09-09
BA_000322,File:Amoxicillin rash 11 hours after 17th dose.JPG,https://commons.wikimedia.org/wiki/File:Amoxicillin_rash_11_hours_after_17th_dose.JPG,https://upload.wikimedia.org/wikipedia/commons/a/ac/Amoxicillin_rash_11_hours_after_17th_dose.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,740,1051,740,327479,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Skoch3,Own work,2008-02-19T06:29:39Z,search,Augmentin,2026-09-09
BA_000323,File:Amoxicillin rash 26 hours after 17th dose.JPG,https://commons.wikimedia.org/wiki/File:Amoxicillin_rash_26_hours_after_17th_dose.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fc/Amoxicillin_rash_26_hours_after_17th_dose.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,1105,1264,1105,486807,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Skoch3,Own work,2008-02-19T06:30:44Z,search,Augmentin,2026-09-09
BA_000324,File:Amoxicillin rash 3 hours after 17th dose.JPG,https://commons.wikimedia.org/wiki/File:Amoxicillin_rash_3_hours_after_17th_dose.JPG,https://upload.wikimedia.org/wikipedia/commons/7/73/Amoxicillin_rash_3_hours_after_17th_dose.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,762,1242,762,329395,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Skoch3,Own work,2008-02-19T06:27:40Z,search,Augmentin,2026-09-09
BA_000325,File:Amoxicillin substance photo.jpg,https://commons.wikimedia.org/wiki/File:Amoxicillin_substance_photo.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Amoxicillin_substance_photo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,1062,594,594,181034,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Rillke,Own work,2012-11-23T22:27:40Z,search,Augmentin,2026-09-09
BA_000326,File:Amoxicillin-2D-skeletal.png,https://commons.wikimedia.org/wiki/File:Amoxicillin-2D-skeletal.png,https://upload.wikimedia.org/wikipedia/commons/6/63/Amoxicillin-2D-skeletal.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,1100,567,567,40029,Public domain,,,,2006-07-15T14:55:58Z,search,Augmentin,2026-09-09
BA_000327,File:Amoxicillin-3D-balls.png,https://commons.wikimedia.org/wiki/File:Amoxicillin-3D-balls.png,https://upload.wikimedia.org/wikipedia/commons/3/30/Amoxicillin-3D-balls.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,1100,515,515,155483,Public domain,,User:Benjah-bmm27,Own work,2007-01-06T15:02:09Z,search,Augmentin,2026-09-09
BA_000328,File:Amoxicillin-3D-vdW.png,https://commons.wikimedia.org/wiki/File:Amoxicillin-3D-vdW.png,https://upload.wikimedia.org/wikipedia/commons/1/12/Amoxicillin-3D-vdW.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,1100,566,566,192490,Public domain,,,,2006-06-12T00:26:52Z,search,Augmentin,2026-09-09
BA_000329,File:Amoxicillin-from-xtal-3D-bs-17.png,https://commons.wikimedia.org/wiki/File:Amoxicillin-from-xtal-3D-bs-17.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Amoxicillin-from-xtal-3D-bs-17.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,3000,2119,2119,1002135,Public domain,,Ben Mills,Own work,2021-01-16T17:50:03Z,search,Augmentin,2026-09-09
BA_000330,File:Amoxicillin-from-xtal-3D-sf.png,https://commons.wikimedia.org/wiki/File:Amoxicillin-from-xtal-3D-sf.png,https://upload.wikimedia.org/wikipedia/commons/c/c3/Amoxicillin-from-xtal-3D-sf.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,3000,2313,2313,1148947,Public domain,,Ben Mills,Own work,2021-01-16T17:50:52Z,search,Augmentin,2026-09-09
BA_000331,File:Amoxicillin-from-xtal-Mercury-3D-balls.png,https://commons.wikimedia.org/wiki/File:Amoxicillin-from-xtal-Mercury-3D-balls.png,https://upload.wikimedia.org/wikipedia/commons/8/83/Amoxicillin-from-xtal-Mercury-3D-balls.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,2000,1487,1487,614607,Public domain,,Ben Mills,Own work,2020-05-03T21:51:07Z,search,Augmentin,2026-09-09
BA_000332,File:Amoxicillin.JPG,https://commons.wikimedia.org/wiki/File:Amoxicillin.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1e/Amoxicillin.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,998,772,772,480765,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Smile a While,Own work,2008-09-04T00:45:23Z,search,Augmentin,2026-09-09
