artist,brightness,candidate_id,commons_title,decision,exclusion_code,file_size_bytes,format,grad,height,licence_short,min_hamming_to_pool,min_side,near_white_frac,page_url,path,quantized_colours,query_term,reason,width
tales of a wandering youkai,0.3897888660430908,BA_000457,File:Automated Postal Center and new Priority Mail box display (5115759015).jpg,pending_review,,191228,JPEG,0.02777574583888054,717,CC BY 2.0,16,717,0.013916015625,https://commons.wikimedia.org/wiki/File:Automated_Postal_Center_and_new_Priority_Mail_box_display_(5115759015).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000457.jpg,2452,drug packaging box,,1280
Jorge Franganillo,0.4308217465877533,BA_000466,File:Ax-les-Thermes - 53230478005.jpg,pending_review,,389919,JPEG,0.049289047718048096,768,CC BY 2.0,20,768,0.0,https://commons.wikimedia.org/wiki/File:Ax-les-Thermes_-_53230478005.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000466.jpg,2023,amoxicillin,,1280
Jorge Franganillo,0.37211528420448303,BA_000467,File:Ax-les-Thermes - panoramio.jpg,pending_review,,335084,JPEG,0.047036003321409225,720,CC BY 3.0,18,720,0.00054931640625,https://commons.wikimedia.org/wiki/File:Ax-les-Thermes_-_panoramio.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000467.jpg,2074,amoxicillin,,1280
Ji-Elle,0.4120350182056427,BA_000468,File:Ax-les-Thermes Mairie.jpg,pending_review,,363569,JPEG,0.03499834984540939,899,Public domain,18,899,0.0005340576171875,https://commons.wikimedia.org/wiki/File:Ax-les-Thermes_Mairie.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000468.jpg,1618,amoxicillin,,1280
Jorge Franganillo,0.48600900173187256,BA_000470,File:Ax-les-Thermes.jpg,pending_review,,445445,JPEG,0.04823166877031326,854,CC BY 2.0,16,854,1.52587890625e-05,https://commons.wikimedia.org/wiki/File:Ax-les-Thermes.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000470.jpg,2272,amoxicillin,,1280
"Anna Zvereva from Tallinn, Estonia",0.6306331157684326,BA_000518,"File:Bangkok Airways, HS-PPD, Airbus A320-232 (40696867833).jpg",pending_review,,597803,JPEG,0.00919637456536293,800,CC BY-SA 2.0,16,800,0.0002593994140625,"https://commons.wikimedia.org/wiki/File:Bangkok_Airways,_HS-PPD,_Airbus_A320-232_(40696867833).jpg",C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000518.jpg,759,propylene glycol,,1200
Agência Brasil Fotografias,0.4252837598323822,BA_000522,File:Barros inaugura linha de produção da vacina de febre amarela (26025962128).jpg,pending_review,,139448,JPEG,0.022799503058195114,852,CC BY 2.0,18,852,0.0042724609375,https://commons.wikimedia.org/wiki/File:Barros_inaugura_linha_de_produ%C3%A7%C3%A3o_da_vacina_de_febre_amarela_(26025962128).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000522.jpg,861,yellow fever vaccine,,1280
Agência Brasil Fotografias,0.41322699189186096,BA_000523,File:Barros inaugura linha de produção da vacina de febre amarela (26025964458).jpg,pending_review,,123922,JPEG,0.02046274207532406,852,CC BY 2.0,18,852,0.0001068115234375,https://commons.wikimedia.org/wiki/File:Barros_inaugura_linha_de_produ%C3%A7%C3%A3o_da_vacina_de_febre_amarela_(26025964458).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000523.jpg,736,yellow fever vaccine,,1280
Agência Brasil Fotografias,0.5206709504127502,BA_000524,File:Barros inaugura linha de produção da vacina de febre amarela (28118409009).jpg,pending_review,,143455,JPEG,0.02345658466219902,718,CC BY 2.0,16,718,0.0009002685546875,https://commons.wikimedia.org/wiki/File:Barros_inaugura_linha_de_produ%C3%A7%C3%A3o_da_vacina_de_febre_amarela_(28118409009).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000524.jpg,2512,yellow fever vaccine,,1280
Agência Brasil Fotografias,0.4450942277908325,BA_000525,File:Barros inaugura linha de produção da vacina de febre amarela (28118410229).jpg,pending_review,,111275,JPEG,0.012108955532312393,836,CC BY 2.0,18,836,0.001129150390625,https://commons.wikimedia.org/wiki/File:Barros_inaugura_linha_de_produ%C3%A7%C3%A3o_da_vacina_de_febre_amarela_(28118410229).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000525.jpg,1636,yellow fever vaccine,,1280
Agência Brasil Fotografias,0.36785927414894104,BA_000526,File:Barros inaugura linha de produção da vacina de febre amarela (28118412859).jpg,pending_review,,149442,JPEG,0.02407892979681492,852,CC BY 2.0,16,852,0.0001068115234375,https://commons.wikimedia.org/wiki/File:Barros_inaugura_linha_de_produ%C3%A7%C3%A3o_da_vacina_de_febre_amarela_(28118412859).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000526.jpg,1819,yellow fever vaccine,,1280
Agência Brasil Fotografias,0.4609394371509552,BA_000527,File:Barros inaugura linha de produção da vacina de febre amarela (39899292221).jpg,pending_review,,123767,JPEG,0.020428519695997238,852,CC BY 2.0,16,852,0.0047607421875,https://commons.wikimedia.org/wiki/File:Barros_inaugura_linha_de_produ%C3%A7%C3%A3o_da_vacina_de_febre_amarela_(39899292221).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000527.jpg,868,yellow fever vaccine,,1280
AusAID/Jim Holmes,0.334498792886734,BA_000528,"File:Batulechaur Health Post, Pokhara, Nepal (10676808455).jpg",exclude,A_ACQUISITION_OUT_OF_BAND,137180,JPEG,0.02272690460085869,853,CC BY 2.0,,853,0.0204010009765625,"https://commons.wikimedia.org/wiki/File:Batulechaur_Health_Post,_Pokhara,_Nepal_(10676808455).jpg",C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000528.jpg,1499,drug packaging box,"brightness 0.334 outside the counterfeit support [0.341, 0.714]",1280
Daniel Case,0.456616073846817,BA_000529,File:Bayer Aspirin and store-brand generic on Canadian drugstore shelf.jpg,pending_review,,354335,JPEG,0.041811466217041016,1071,CC BY-SA 3.0,18,1071,0.0,https://commons.wikimedia.org/wiki/File:Bayer_Aspirin_and_store-brand_generic_on_Canadian_drugstore_shelf.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000529.jpg,2347,drug packaging box,,1280
Mpv_51 at English Wikipedia,0.8326018452644348,BA_000530,File:Bayer Heroin bottle (cropped).jpg,exclude,A_NOT_PHOTOGRAPH,170530,JPEG,0.019525963813066483,1534,Public domain,,1280,0.608612060546875,https://commons.wikimedia.org/wiki/File:Bayer_Heroin_bottle_(cropped).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000530.jpg,32,medicine bottle label,"grad 0.0195, white 0.61, colours 32",1280
Mpv_51 at English Wikipedia,0.8631587028503418,BA_000531,File:Bayer Heroin bottle.jpg,exclude,A_NOT_PHOTOGRAPH,173264,JPEG,0.01685403473675251,1876,Public domain,,1280,0.6787567138671875,https://commons.wikimedia.org/wiki/File:Bayer_Heroin_bottle.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000531.jpg,30,medicine bottle label,"grad 0.0169, white 0.68, colours 30",1280
melvil,0.6243231296539307,BA_000553,File:Bimmuge-Hepatitis B Vaccines.jpg,pending_review,,411022,JPEG,0.04380054026842117,1585,CC BY-SA 4.0,18,1280,0.0227813720703125,https://commons.wikimedia.org/wiki/File:Bimmuge-Hepatitis_B_Vaccines.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000553.jpg,1441,hepatitis B vaccine,,1280
The U.S. Food and Drug Administration,0.4121744930744171,BA_000554,File:Bio Threats- FDA's A-Team (6304) (9806908675).jpg,pending_review,,317365,JPEG,0.031272757798433304,850,Public domain,18,850,1.52587890625e-05,https://commons.wikimedia.org/wiki/File:Bio_Threats-_FDA%27s_A-Team_(6304)_(9806908675).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000554.jpg,1933,meningitis vaccine,,1280
The U.S. Food and Drug Administration,0.5533222556114197,BA_000555,File:Bio Threats- FDA's A-Team (6306) (9806933446).jpg,pending_review,,246765,JPEG,0.027188900858163834,850,Public domain,18,850,0.026519775390625,https://commons.wikimedia.org/wiki/File:Bio_Threats-_FDA%27s_A-Team_(6306)_(9806933446).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000555.jpg,1721,meningitis vaccine,,1280
The U.S. Food and Drug Administration,0.5796555876731873,BA_000556,File:Bio Threats- FDA's A-Team (6309) (9806913284).jpg,pending_review,,219395,JPEG,0.02391011267900467,850,Public domain,18,850,0.034210205078125,https://commons.wikimedia.org/wiki/File:Bio_Threats-_FDA%27s_A-Team_(6309)_(9806913284).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000556.jpg,1767,meningitis vaccine,,1280
"Joachim Delasoie, Philippe Schiel, Sandra Vojnovic, Jasmina Nikodinovic-Runic and Fabio Zobi",0.22675590217113495,BA_000557,File:Bio-inspired hybrid multifunctional drug delivery system (cropped).png,exclude,A_ACQUISITION_OUT_OF_BAND,1108983,PNG,0.023999322205781937,793,CC BY-SA 4.0,,793,0.00048828125,https://commons.wikimedia.org/wiki/File:Bio-inspired_hybrid_multifunctional_drug_delivery_system_(cropped).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000557.jpg,2515,vitamin A capsules,"brightness 0.227 outside the counterfeit support [0.341, 0.714]",1280
"Joachim Delasoie, Philippe Schiel, Sandra Vojnovic, Jasmina Nikodinovic-Runic and Fabio Zobi",0.28423553705215454,BA_000558,File:Bio-inspired hybrid multifunctional drug delivery system.png,exclude,A_ACQUISITION_OUT_OF_BAND,929553,PNG,0.03194287419319153,596,CC BY 4.0,,596,0.028594970703125,https://commons.wikimedia.org/wiki/File:Bio-inspired_hybrid_multifunctional_drug_delivery_system.png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000558.jpg,2776,vitamin A capsules,"brightness 0.284 outside the counterfeit support [0.341, 0.714]",1280
BioNTech,0.49526849389076233,BA_000560,File:BioNTech COVID-19 Vaccine.jpg,pending_review,,168226,JPEG,0.00953860953450203,1280,CC BY-SA 3.0 de,18,1280,0.0013275146484375,https://commons.wikimedia.org/wiki/File:BioNTech_COVID-19_Vaccine.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000560.jpg,2433,Comirnaty,,1280
W.carter,0.25851941108703613,BA_000567,File:Black 1937 Volvo PV 51 in Lysekil 7 sepia.jpg,exclude,A_ACQUISITION_OUT_OF_BAND,293869,JPEG,0.04276648536324501,816,CC BY-SA 4.0,,816,0.0005035400390625,https://commons.wikimedia.org/wiki/File:Black_1937_Volvo_PV_51_in_Lysekil_7_sepia.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000567.jpg,362,penicillin V,"brightness 0.259 outside the counterfeit support [0.341, 0.714]",1280
