candidate_id,source_organization,alert_title,alert_url,image_url,status,filter,bytes,sha256,format,width,height,min_side,stored_relpath,n_alert_pages,nearest_pool_match,min_hamming_to_pool,image_license,redistribution_status
HV_000298_x45,WHO,25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2015-artemether-lumefantrine_en.pdf?sfvrsn=e32570a0_1,kept,,677022,69b98b10334193d2bfe1ee7ce7466cf2dbf64d6d0802ff17fb731049be302e93,PNG,826,465,465,split_e_harvested/HV_000298_x45.png,1,mendeley_iphone11pro/iphone_11_pro_(197).JPG,18,unknown_permission_required,metadata_only_permission_required
HV_000070_x34,WHO,05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,https://www.who.int/news/item/05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2016-falsified-phenobarbital_en.pdf?sfvrsn=bf8832a3_1,kept,,982156,2747cbc35a687bf2e0a80a36405697494de0c9d8d38d60b3c245f3462e38eae9,PNG,834,787,787,split_e_harvested/HV_000070_x34.png,1,kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175026.png,18,unknown_permission_required,metadata_only_permission_required
HV_000070_x35,WHO,05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,https://www.who.int/news/item/05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2016-falsified-phenobarbital_en.pdf?sfvrsn=bf8832a3_1,kept,,972921,0221285f20e4bb63117828cda157bb700e68b4ae9772c26988a48cda65b03321,PNG,915,767,767,split_e_harvested/HV_000070_x35.png,1,mendeley_iphone11pro/iphone_11_pro_(184).JPG,14,unknown_permission_required,metadata_only_permission_required
HV_000070_x48,WHO,05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,https://www.who.int/news/item/05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2016-falsified-phenobarbital_en.pdf?sfvrsn=bf8832a3_1,kept,,459417,1eb1cf834d42cd12ac9e903e6ff36f45e42455d98043e34468a548817b5c546c,PNG,549,588,549,split_e_harvested/HV_000070_x48.png,1,mendeley_iphone11pro/iphone_11_pro_(7).JPG,16,unknown_permission_required,metadata_only_permission_required
HV_000011_x49,WHO,02-06-2017-medical-product-alert-n-1-2017--falsified-meningococcal-acwy-vaccine,https://www.who.int/news/item/02-06-2017-medical-product-alert-n-1-2017--falsified-meningococcal-acwy-vaccine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2017_falsified-meningitis-vaccine_en.pdf?sfvrsn=3dd2d1bc_1,kept,,82944,30bb17aba7a3b5edc25dd1e50fadc9f152fcfe3fea41e82af4794b7380acd8de,PNG,269,197,197,split_e_harvested/HV_000011_x49.png,1,roboflow/train/images222_jpg.rf.777aa35cf2522df9a332cf5a0b927c26.jpg,16,unknown_permission_required,metadata_only_permission_required
HV_000011_x50,WHO,02-06-2017-medical-product-alert-n-1-2017--falsified-meningococcal-acwy-vaccine,https://www.who.int/news/item/02-06-2017-medical-product-alert-n-1-2017--falsified-meningococcal-acwy-vaccine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2017_falsified-meningitis-vaccine_en.pdf?sfvrsn=3dd2d1bc_1,kept,,373299,e2f12a62ec008e945f40cec40ac72403145f1edaab706919fcde74c212ad275f,PNG,768,345,345,split_e_harvested/HV_000011_x50.png,1,mendeley_iphone11pro/iphone_11_pro_(94).JPG,18,unknown_permission_required,metadata_only_permission_required
HV_000002_x17,WHO,02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2018-falsified-cefixime_en.pdf?sfvrsn=8b3c9267_1,kept,,35542,2bdd37e84de765deedb4d22b4c03c4b2e1ed69453541580ff4f903a8e5268458,PNG,398,123,123,split_e_harvested/HV_000002_x17.png,2,kaggle_fake_real/dataset/Real/images337.jpg,18,unknown_permission_required,metadata_only_permission_required
HV_000002_x37,WHO,02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2018-falsified-cefixime_en.pdf?sfvrsn=8b3c9267_1,kept,,775395,5b3c09096c2f26f3fa26b9e1b67f1dd4e360d3d6d76085610490701449b01a4b,PNG,700,848,700,split_e_harvested/HV_000002_x37.png,2,roboflow/train/images4025_jpg.rf.23b8cdb099d7471489c0e066a2b248f2.jpg,18,unknown_permission_required,metadata_only_permission_required
HV_000002_x38,WHO,02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2018-falsified-cefixime_en.pdf?sfvrsn=8b3c9267_1,kept,,966041,1ddf05eea27ea060ea1002374691ca71eb89cd2cabcb4237e00003a902f7a679,PNG,727,918,727,split_e_harvested/HV_000002_x38.png,2,roboflow/train/images13_jpg.rf.7fe10262fa0953b8506d7d4dd48064ec.jpg,18,unknown_permission_required,metadata_only_permission_required
HV_000002_x39,WHO,02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2018-falsified-cefixime_en.pdf?sfvrsn=8b3c9267_1,kept,,876598,0c95363bd822454fd8e879baf18556aa767f4cb9cc9f0c03a1b6b1a6efe16291,PNG,700,917,700,split_e_harvested/HV_000002_x39.png,2,kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180157.png,18,unknown_permission_required,metadata_only_permission_required
