filename,width,height,min_side,file_size_bytes,brightness
iphone_11_pro_(188).JPG,2419,3225,2419,2460237,0.35512855648994446
iphone_11_pro_(189).JPG,2419,3225,2419,2125404,0.42303600907325745
iphone_11_pro_(19).JPG,2419,3225,2419,2925086,0.3748752176761627
iphone_11_pro_(190).JPG,2419,3225,2419,2331397,0.39075684547424316
iphone_11_pro_(191).JPG,2419,3225,2419,2523255,0.3726572096347809
iphone_11_pro_(192).JPG,2419,3225,2419,2288570,0.3787055015563965
iphone_11_pro_(193).JPG,2419,3225,2419,2295649,0.33300718665122986
iphone_11_pro_(194).JPG,2419,3225,2419,2215631,0.3919258117675781
iphone_11_pro_(195).JPG,2419,3225,2419,2415000,0.36379602551460266
iphone_11_pro_(196).JPG,2419,3225,2419,1688552,0.41578683257102966
iphone_11_pro_(197).JPG,2419,3225,2419,2226624,0.3917872905731201
iphone_11_pro_(198).JPG,2419,3225,2419,2309439,0.4015478193759918
iphone_11_pro_(199).JPG,2419,3225,2419,2099263,0.43769630789756775
iphone_11_pro_(2).JPG,2419,3225,2419,2862574,0.36126944422721863
iphone_11_pro_(200).JPG,2419,3225,2419,2380478,0.3760873079299927
iphone_11_pro_(201).JPG,2419,3225,2419,2383337,0.3682636320590973
iphone_11_pro_(202).JPG,2419,3225,2419,2381672,0.3683740794658661
iphone_11_pro_(203).JPG,2419,3225,2419,2387696,0.34219101071357727
iphone_11_pro_(204).JPG,2419,3225,2419,1981229,0.36337029933929443
iphone_11_pro_(205).JPG,2419,3225,2419,2288900,0.39494869112968445
iphone_11_pro_(206).JPG,2419,3225,2419,2634991,0.37215712666511536
iphone_11_pro_(207).JPG,2419,3225,2419,2381460,0.3913175165653229
iphone_11_pro_(210).JPG,2419,3225,2419,2303661,0.37329867482185364
iphone_11_pro_(212).JPG,2419,3225,2419,2581840,0.35902169346809387
iphone_11_pro_(214).JPG,2419,3225,2419,2012332,0.420719712972641
iphone_11_pro_(215).JPG,2419,3225,2419,2307722,0.36561164259910583
iphone_11_pro_(216).JPG,2419,3225,2419,1991253,0.42976951599121094
iphone_11_pro_(217).JPG,2419,3225,2419,1647148,0.4791676104068756
iphone_11_pro_(218).JPG,2419,3225,2419,1838585,0.39915743470191956
iphone_11_pro_(219).JPG,2419,3225,2419,2367397,0.39112797379493713
iphone_11_pro_(220).JPG,2419,3225,2419,2304646,0.3747587203979492
iphone_11_pro_(221).JPG,2419,3225,2419,2585479,0.3554588854312897
iphone_11_pro_(222).JPG,2419,3225,2419,2065870,0.3849817216396332
iphone_11_pro_(223).JPG,2419,3225,2419,2186290,0.3857077360153198
iphone_11_pro_(224).JPG,2419,3225,2419,2305871,0.3800165355205536
