feature_index,channel,bin,bin_low,bin_high,coefficient,baseline_mean_density,mean_abs_shap,mean_signed_shap
78,B,14,112,119,0.22396629335582524,0.003425449420839766,0.0006461615737506316,-1.080622299925359e-05
79,B,15,120,127,0.19248814080718704,0.0035382107642163998,0.000545156945746628,-4.330496298108456e-05
80,B,16,128,135,0.1848588438730538,0.0037959240615889262,0.0005166355571282816,-8.640998007187373e-05
81,B,17,136,143,0.1635652979846367,0.003854059760064739,0.0004501662460065428,-4.669890728763205e-05
82,B,18,144,151,0.09987957614727133,0.0038714844196607234,0.00029564363232821713,-1.7630007389154853e-06
83,B,19,152,159,0.049045506555542163,0.004008090401339109,0.00014502890607915155,-5.20120542257037e-06
84,B,20,160,167,0.009893508913365743,0.004124864231406846,2.8688491735297796e-05,-2.4602913633456687e-06
85,B,21,168,175,-0.01496251260072796,0.0040235681326101875,4.683601524230945e-05,-1.4875573347542862e-06
86,B,22,176,183,-0.044172600604501434,0.004439436209751756,0.00015036745287612638,-3.689653004968516e-06
87,B,23,184,191,-0.003399545854823225,0.004437007783023925,1.1607651544891362e-05,-1.4190550349776986e-06
88,B,24,192,199,-0.025781792378120467,0.004584164860140483,0.00010552024942850042,-2.1048762602829978e-05
89,B,25,200,207,-0.00486147376280056,0.005044944875271537,2.3087043458196183e-05,-3.1146665329110214e-06
90,B,26,208,215,0.08451890873815712,0.005299483074479793,0.0004152356822554502,-2.590939293467833e-05
91,B,27,216,223,-0.028696624842913694,0.004518541512587179,0.00011820121543182154,2.5245239093285826e-05
92,B,28,224,231,-0.13959089777067207,0.0034728176985079767,0.00035159162783337204,0.00021433457184670996
93,B,29,232,239,-0.26759318166968465,0.0026811645417095407,0.0006806728525774682,0.00014287483020968054
94,B,30,240,247,-0.19825682317482715,0.0019550649500871776,0.00046091527572926657,-9.553278964220426e-05
95,B,31,248,255,-2.945398737896138,0.026410724725157916,0.08151718800883243,-0.004340802108452101
